Filter, ID, Time_ms, Average_time, Memory_used_MiB, Memory_free_MiB
0, 18, 1795, 0, 2, 25755
0, 19, 1256, 0, 2, 25755
0, 20, 1246, 0, 2, 25755
0, 21, 1302, 0, 22, 25735
0, 22, 954, 0, 2, 25735
0, 23, 1094, 0, 2, 25735
0, 24, 953, 0, 2, 25735
0, 25, 951, 0, 2, 25735
0, 26, 975, 0, 2, 25735
0, 27, 1043, 0, 18, 25719
0, 28, 950, 0, 2, 25719
0, 29, 996, 0, 2, 25719
0, 30, 922, 0, 2, 25719
0, 0, 0, 1060
12, 1, 1091, 0, 2, 25699
0, 2, 1122, 0, 2, 25699
0, 3, 1047, 0, 2, 25699
0, 4, 1048, 0, 2, 25699
0, 5, 1040, 0, 18, 25683
0, 6, 995, 0, 2, 25683
0, 7, 921, 0, 2, 25683
0, 8, 965, 0, 2, 25683
0, 9, 1221, 0, 18, 25667
0, 10, 957, 0, 2, 25667
0, 11, 1004, 0, 2, 25667
0, 12, 924, 0, 2, 25667
0, 13, 1796, 0, 2, 25667
0, 14, 1290, 0, 22, 25647
0, 15, 955, 0, 2, 25647
0, 16, 1095, 0, 2, 25647
0, 17, 1039, 0, 2, 25647
0, 18, 1126, 0, 18, 25631
0, 19, 978, 0, 2, 25631
0, 20, 960, 0, 2, 25631
0, 21, 990, 0, 2, 25631
0, 22, 1049, 0, 18, 25615
0, 23, 948, 0, 2, 25615
0, 24, 963, 0, 2, 25615
0, 25, 960, 0, 2, 25615
0, 26, 1204, 0, 2, 25615
0, 27, 1592, 0, 2, 25615
0, 28, 1045, 0, 74, 25543
0, 29, 996, 0, 2, 25543
0, 30, 922, 0, 2, 25543
0, 0, 0, 1075
13, 1, 1014, 0, 2, 25543
0, 2, 964, 0, 2, 25543
0, 3, 964, 0, 2, 25543
0, 4, 972, 0, 2, 25543
0, 5, 969, 0, 2, 25543
0, 6, 957, 0, 2, 25543
0, 7, 978, 0, 2, 25543
0, 8, 968, 0, 2, 25543
0, 9, 954, 0, 2, 25543
0, 10, 992, 0, 2, 25543
0, 11, 965, 0, 2, 25543
0, 12, 962, 0, 2, 25543
0, 13, 963, 0, 2, 25543
0, 14, 912, 0, 2, 25543
0, 15, 1048, 0, 14, 25531
0, 16, 973, 0, 2, 25531
0, 17, 931, 0, 2, 25531
0, 18, 1609, 0, 2, 25531
0, 19, 874, 0, 2, 25531
0, 20, 888, 0, 2, 25531
